"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-08 23:23:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 23:33:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 23:43:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 23:53:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 00:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 00:13:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 00:23:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 00:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 00:43:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 00:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 01:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 01:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 01:23:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 01:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 01:43:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 01:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 02:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 02:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 02:23:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 02:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 02:43:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 02:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 03:03:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 03:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 03:23:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 03:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 03:43:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 03:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 04:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 04:13:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 04:23:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 04:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 04:43:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 04:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 05:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 05:13:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 05:23:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 05:33:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 05:43:00"",""1.6784668"""
