"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-09 02:01:23"",""3.4"""
"Temperature for Smartbrick 141419,""2022-03-09 02:11:23"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 02:21:24"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 02:31:23"",""3.2"""
"Temperature for Smartbrick 141419,""2022-03-09 02:41:23"",""3.2"""
"Temperature for Smartbrick 141419,""2022-03-09 02:51:23"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 03:01:23"",""3.4"""
"Temperature for Smartbrick 141419,""2022-03-09 03:11:23"",""3.4"""
"Temperature for Smartbrick 141419,""2022-03-09 03:21:23"",""3.2"""
"Temperature for Smartbrick 141419,""2022-03-09 03:31:23"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 03:41:24"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 03:51:23"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 04:01:24"",""3.1"""
"Temperature for Smartbrick 141419,""2022-03-09 04:11:23"",""3"""
"Temperature for Smartbrick 141419,""2022-03-09 04:21:23"",""2.9"""
"Temperature for Smartbrick 141419,""2022-03-09 04:31:23"",""2.9"""
"Temperature for Smartbrick 141419,""2022-03-09 04:41:24"",""2.7"""
"Temperature for Smartbrick 141419,""2022-03-09 04:51:24"",""2.5"""
"Temperature for Smartbrick 141419,""2022-03-09 05:01:24"",""2.3"""
"Temperature for Smartbrick 141419,""2022-03-09 05:11:23"",""2.1"""
"Temperature for Smartbrick 141419,""2022-03-09 05:21:23"",""2"""
"Temperature for Smartbrick 141419,""2022-03-09 05:31:23"",""1.9"""
"Temperature for Smartbrick 141419,""2022-03-09 05:41:23"",""1.8"""
"Temperature for Smartbrick 141419,""2022-03-09 05:51:23"",""1.8"""
"Temperature for Smartbrick 141419,""2022-03-09 06:01:23"",""1.7"""
"Temperature for Smartbrick 141419,""2022-03-09 06:11:23"",""1.6"""
"Temperature for Smartbrick 141419,""2022-03-09 06:21:23"",""1.5"""
"Temperature for Smartbrick 141419,""2022-03-09 06:31:23"",""1.5"""
"Temperature for Smartbrick 141419,""2022-03-09 06:41:23"",""1.4"""
