Data;Device ID;Sequence number;Timestamp
c44bfecc0afa000000e6;00CEA278;3958;7-7-2021 23:09
c44efecd0b00000000e7;00CEA278;3957;7-7-2021 22:58
c44efeca0b07000000e6;00CEA278;3956;7-7-2021 22:48
c43dfec80afd000000e6;00CEA278;3955;7-7-2021 22:38
c450fec60afe000000e4;00CEA278;3954;7-7-2021 22:27
c43dfed00b09000000e6;00CEA278;3953;7-7-2021 22:17
c43ffeca0af6000000e7;00CEA278;3952;7-7-2021 22:07
c43efec50af8000000e1;00CEA278;3951;7-7-2021 21:56
c43ffec50b08000000eb;00CEA278;3950;7-7-2021 21:46
c447fec70b02000000e6;00CEA278;3949;7-7-2021 21:36
c440fec20afc000000e9;00CEA278;3948;7-7-2021 21:25
c440fec90afb000000e6;00CEA278;3947;7-7-2021 21:15
c43dfec40b07000000e7;00CEA278;3946;7-7-2021 21:05
c448fec40b06000000e9;00CEA278;3945;7-7-2021 20:54
c43afec50afa000000e6;00CEA278;3944;7-7-2021 20:44
c43dfec40b06000000e7;00CEA278;3943;7-7-2021 20:34
c43afec10aff000000eb;00CEA278;3942;7-7-2021 20:23
c440febd0b06000000e7;00CEA278;3941;7-7-2021 20:13
c444fec60afd000000eb;00CEA278;3940;7-7-2021 20:03
c442fec10b08000000e7;00CEA278;3939;7-7-2021 19:52
c43ffec30b04000000e9;00CEA278;3938;7-7-2021 19:42
c443feb90afe000000eb;00CEA278;3937;7-7-2021 19:32
c441feb70b09000000eb;00CEA278;3936;7-7-2021 19:21
c435fec00b0f000000ee;00CEA278;3935;7-7-2021 19:11
c43afeba0b0a000000ec;00CEA278;3934;7-7-2021 19:01
c440feb60b03000000e9;00CEA278;3933;7-7-2021 18:50
c43bfeba0b02000000f1;00CEA278;3932;7-7-2021 18:40
c43ffebb0b09000000f1;00CEA278;3931;7-7-2021 18:30
c439febd0b00000000eb;00CEA278;3930;7-7-2021 18:19
c437feb30b0d000000ee;00CEA278;3929;7-7-2021 18:09
c43dfec60b0a000000eb;00CEA278;3928;7-7-2021 17:59
c445feba0b09000000e9;00CEA278;3927;7-7-2021 17:48
c436fec20b0c000000ec;00CEA278;3926;7-7-2021 17:38
c43bfeb60b05000000ef;00CEA278;3925;7-7-2021 17:28
c439febd0aff000000ec;00CEA278;3924;7-7-2021 17:17
c43afebc0aff000000ec;00CEA278;3923;7-7-2021 17:07
c435febf0b08000000e9;00CEA278;3922;7-7-2021 16:57
c433febe0b0f000000ee;00CEA278;3921;7-7-2021 16:46
c43dfec10af9000000eb;00CEA278;3920;7-7-2021 16:36
c43bfebf0b00000000e9;00CEA278;3919;7-7-2021 16:26
c43dfebf0b0b000000e7;00CEA278;3918;7-7-2021 16:15
c43dfebe0b00000000ec;00CEA278;3917;7-7-2021 16:05
c440fec00b02000000e9;00CEA278;3916;7-7-2021 15:55
c43bfec60afd000000eb;00CEA278;3915;7-7-2021 15:44
c439fec60b03000000e7;00CEA278;3914;7-7-2021 15:34
c448fec80aff000000e7;00CEA278;3913;7-7-2021 15:24
c447fecc0af9000000e6;00CEA278;3912;7-7-2021 15:13
c442fec20af4000000e6;00CEA278;3911;7-7-2021 15:03
c446fecd0af8000000e6;00CEA278;3910;7-7-2021 14:53
c443fecd0afa000000e6;00CEA278;3909;7-7-2021 14:42
c449fece0af5000000e1;00CEA278;3908;7-7-2021 14:32
c44afecf0aea000000e1;00CEA278;3907;7-7-2021 14:22
c448fecd0ae9000000e0;00CEA278;3906;7-7-2021 14:11
c44cfed40af0000000e0;00CEA278;3905;7-7-2021 14:01
c44dfed50aeb000000db;00CEA278;3904;7-7-2021 13:51
c44efed90aec000000e0;00CEA278;3903;7-7-2021 13:40
c449fedb0af1000000dc;00CEA278;3902;7-7-2021 13:30
c457fecc0af7000000e0;00CEA278;3901;7-7-2021 13:20
c454fed70aea000000e1;00CEA278;3900;7-7-2021 13:09
c456fed50aee000000e1;00CEA278;3899;7-7-2021 12:59
c451fee00af1000000de;00CEA278;3898;7-7-2021 12:49
c451fedb0aed000000de;00CEA278;3897;7-7-2021 12:38
c453fed90af2000000db;00CEA278;3896;7-7-2021 12:28
c451fedf0aef000000e1;00CEA278;3895;7-7-2021 12:18
c455feda0aea000000db;00CEA278;3894;7-7-2021 12:07
c452fedd0aef000000de;00CEA278;3893;7-7-2021 11:57
c460fedf0aea000000db;00CEA278;3892;7-7-2021 11:47
c458fedf0ae9000000de;00CEA278;3891;7-7-2021 11:36
c458fee30af2000000db;00CEA278;3890;7-7-2021 11:26
c458fee00af4000000dc;00CEA278;3889;7-7-2021 11:16
c44efedd0ae5000000d9;00CEA278;3888;7-7-2021 11:05
c45cfedd0ade000000d9;00CEA278;3887;7-7-2021 10:55
c45bfee00af4000000db;00CEA278;3886;7-7-2021 10:45
c455fedd0ae9000000d6;00CEA278;3885;7-7-2021 10:34
c45bfede0aee000000d6;00CEA278;3884;7-7-2021 10:24
c450fedb0aea000000d8;00CEA278;3883;7-7-2021 10:14
c450fedf0ada000000d8;00CEA278;3882;7-7-2021 10:03
c45cfede0ae6000000dc;00CEA278;3881;7-7-2021 09:53
